1,"Thatll Be $3, Says Trump After Handing Water Bottle To Sick Ohio Resident"
2,"Gondoliers Gasp, Flop Uncontrollably After Venice Canals Drained From Drought"
3,Report: More Italians Choosing Environmentally Friendly Option Of Being Baked Into Burial Lasagna
4,"If Sci-Fi World Not Alien Enough For You, Here Come 2 Suns"
5,Green Comet Slows Down To Gawk As It Passes Totally Wrecked Planet
6,U.S. Blows Itself Up So China Cant Have It
7,Nationwide Flight Disruption Lasts Almost Long Enough For Pilot To Sober Up
8,Fugitive Bolsonaro Coup Supporters Hide Deep In Amazon Rainforests Last Remaining Tree
9,Plume Of Smoke Above Vatican Signals Last Evidence Of Abuse Has Been Burned
10,"BREAKING: 129,600 129,599 129,598"
11,"Nations 56,000 Acres Of Spinach Crops Cooked Down To Single Half-Cup Serving"
12,Campbells Introduces New Line Of Extra Hearty One-Chunk Soups
13,"Saudis Celebrate Shocking World Cup Win By Flipping Over A Woman, Setting Her On Fire"
14,Jay Leno Rushed To Hospital For Emergency Denim Grafts
15,"Holy Shit, This Past Week Has Been Really Hard On Him, Says Man Seeing Disheveled Sam Bankman-Fried Photo From 2021"
16,Tearful U.N. Secretary Holds Up Glaciers Remains As Dire Climate Warning
17,Bullied Loner Plans Office Shooting
18,Twitter Employee Unsure If Email He Received With Vince McMahon Meme Means He Laid Off Or Not
19,L.A. Replaces Grass With 6-Inch Metal Spikes To Prevent Homeless From Sleeping In Parks
20,World Hunger Activists Throw Oil On Pelican To Protest Climate Activists Wasting Soup
21,Gatorade Introduces Shareable Multi-Teat Bottle
22,"Report: Hey, Pal, Our Headline Is Up Here"
23,"Biden Leaves LA Taco Shop Owner Huge Tip, Wallet, Car Keys, Phone, Belt, Shoes"
24,Shirtless Alex Jones Stands On Side Of Road Holding Car Wash: $1 Million Sign
25,Man In Flat-Brimmed Cap Explains Companys Mission Statement
26,NASA Panics After Asteroid Fires Back
27,Meghan Markle Enters 10th Day Of Unshakably Great Mood
28,Grieving Prince Andrew Asks For 12-Year-Old During This Difficult Time
29,Jean-Luc Godard Dies At End Of Life In Uncharacteristically Linear Narrative Choice
30,Deceased Queen Elizabeth Continues To Wave At Subjects As Maggots Writhe Inside Corpse
31,CTA Increases Police Presence With Armored SWAT Vehicles On Each Train
32,Historic Preservationists Place Eiffel Tower In Jar Of Formaldehyde
33,Trump Excited After Finding Crumpled-Up Top Secret Document In Pants Pocket
34,Kryptonite Introduces New 15-Ton Bike Anchor
35,Raytheon Unveils Deadlier Poison-Tipped Ballistic Missile
